ILP_Opinions,lemmatised_content,tokenized_content,remove_stopwords_content,remove_shortwords_content,pos_tag_content,final_content
risky,risky,['risky'],['risky'],['risky'],['risky'],risky
would like to know more,would like to know more,"['would', 'like', 'to', 'know', 'more']","['would', 'like', 'know']","['would', 'like', 'know']",[],
i dont know ,i do not know,"['i', 'do', 'not', 'know']",['know'],['know'],[],
just another insurance scheme,just another insurance scheme,"['just', 'another', 'insurance', 'scheme']","['another', 'insurance', 'scheme']","['another', 'insurance', 'scheme']","['insurance', 'scheme']",insurance scheme
no idea,no idea,"['no', 'idea']",['idea'],['idea'],['idea'],idea
idk anything,idk anything,"['idk', 'anything']","['idk', 'anything']","['idk', 'anything']","['idk', 'anything']",idk anything
help to earn money through lifelong investment,help to earn money through lifelong investment,"['help', 'to', 'earn', 'money', 'through', 'lifelong', 'investment']","['help', 'earn', 'money', 'lifelong', 'investment']","['help', 'earn', 'money', 'lifelong', 'investment']","['help', 'money', 'lifelong', 'investment']",help money lifelong investment
good,good,['good'],['good'],['good'],['good'],good
dont really understand unless someone explains it in layman terms,do not really understand unless someone explain  in layman term,"['do', 'not', 'really', 'understand', 'unless', 'someone', 'explain', 'in', 'layman', 'term']","['really', 'understand', 'unless', 'someone', 'explain', 'layman', 'term']","['really', 'understand', 'unless', 'someone', 'explain', 'layman', 'term']","['understand', 'layman', 'someone', 'explain', 'term']",understand layman someone explain term
i honestly dont know ,i honestly do not know,"['i', 'honestly', 'do', 'not', 'know']","['honestly', 'know']","['honestly', 'know']",[],
i think it more suitable for people who are investing for a long term however it has a lot of unforeseeable fees that you might not be aware of when you first start investing ,i think  more suitable for people who be invest for a long term however  have a lot of unforeseeable fee that  may not be aware of when  first start invest,"['i', 'think', 'more', 'suitable', 'for', 'people', 'who', 'be', 'invest', 'for', 'a', 'long', 'term', 'however', 'have', 'a', 'lot', 'of', 'unforeseeable', 'fee', 'that', 'may', 'not', 'be', 'aware', 'of', 'when', 'first', 'start', 'invest']","['think', 'suitable', 'people', 'invest', 'long', 'term', 'however', 'lot', 'unforeseeable', 'fee', 'may', 'aware', 'first', 'start', 'invest']","['think', 'suitable', 'people', 'invest', 'long', 'term', 'however', 'lot', 'unforeseeable', 'fee', 'may', 'aware', 'first', 'start', 'invest']","['suitable', 'long', 'unforeseeable', 'first', 'people', 'term', 'fee', 'start']",suitable long unforeseeable first people term fee start
